iter	RMSE
0	628.4749695
1	612.4268199
2	595.5084372
3	578.034515
4	561.6430068
5	545.1936577
6	529.5457525
7	514.1684608
8	500.2012056
9	485.81999
10	472.5519319
11	458.8120362
12	447.288987
13	434.9127382
14	423.3826129
15	412.2723772
16	402.0326192
17	391.9812524
18	381.5072541
19	371.6916834
20	362.0369314
21	351.8516063
22	342.9417728
23	335.1114481
24	326.5506812
25	318.2749989
26	310.2264709
27	302.6875192
28	295.3266991
29	288.6680516
30	281.5295786
31	274.8575015
32	267.8028239
33	261.3941736
34	254.6513761
35	248.742434
36	243.3885698
37	238.0761663
38	232.1524956
39	226.8458235
40	221.5731906
41	216.9973944
42	212.1251265
43	207.0366136
44	202.6580722
45	198.7709199
46	194.2849542
47	190.8468651
48	186.728377
49	183.017155
50	179.320256
51	175.7197088
52	172.0317946
53	168.5199804
54	165.180529
55	161.8464732
56	158.8077725
57	155.645174
58	152.5660951
59	149.4769008
60	146.9559792
61	144.8773992
62	142.6122748
63	140.4121051
64	138.3213459
65	136.1657096
66	133.7705549
67	131.7176232
68	129.5155605
69	127.5581564
70	125.9771761
71	124.3992989
72	122.5031626
73	120.890119
74	119.2319549
75	117.6457721
76	116.1369655
77	114.8695033
78	113.9174752
79	112.4646339
80	111.166114
81	109.920415
82	108.7539384
83	107.5426396
84	106.540429
85	105.3182072
86	104.4318404
87	103.2437074
88	102.4941964
89	101.4743708
90	100.3776919
91	99.21747734
92	98.3745546
93	97.42907229
94	96.57068065
95	95.44992552
96	94.66222811
97	93.85815964
98	93.12139993
99	92.49928245
100	91.58717466
101	90.68390358
102	90.12048754
103	89.63221564
104	88.81864262
105	88.25134852
106	87.52723792
107	86.93603384
108	86.27741145
109	85.820361
110	85.21696532
111	84.59189867
112	84.02710368
113	83.50189397
114	82.98047382
115	82.53734295
116	82.00538573
117	81.63033273
118	81.13724612
119	80.62410666
120	80.12788354
121	79.6752925
122	79.33265748
123	78.91454729
124	78.64758275
125	78.33873079
126	78.04134116
127	77.60275368
128	77.24879192
129	76.77850602
130	76.37572647
131	75.92579517
132	75.64474939
133	75.26892512
134	74.91780464
135	74.56959428
136	74.27093036
137	73.83508202
138	73.57229072
139	73.3850791
140	72.97963485
141	72.65279496
142	72.32395689
143	71.96997466
144	71.51835404
145	71.2409345
146	70.90326746
147	70.5731152
148	70.23896619
149	69.96163441
150	69.71540494
151	69.48897685
152	69.2027157
153	68.96298727
154	68.69384195
155	68.43742507
156	68.16703636
157	67.93926137
158	67.66778066
159	67.46380114
160	67.2240979
161	67.02173404
162	66.81376466
163	66.55311113
164	66.39686743
165	66.24004917
166	65.96677166
167	65.8093654
168	65.55210463
169	65.27759456
170	65.08224032
171	64.92580024
172	64.69532004
173	64.55371635
174	64.31129498
175	64.14475471
176	63.98913331
177	63.74185971
178	63.55727996
179	63.33090793
180	63.08361993
181	62.92299263
182	62.67048429
183	62.53582681
184	62.33773786
185	62.02069063
186	61.75578119
187	61.55878756
188	61.35314376
189	61.14194183
190	60.89728483
191	60.72151163
192	60.58047495
193	60.39861507
194	60.26098197
195	60.10512163
196	59.92319865
197	59.74519186
198	59.48025187
199	59.26446174
200	59.03436858
201	58.81507411
202	58.7033844
203	58.55829695
204	58.39217326
205	58.16386697
206	57.9363159
207	57.73485656
208	57.59347682
209	57.37241963
210	57.23624039
211	57.0134821
212	56.80938686
213	56.61864256
214	56.41902243
215	56.2102259
216	55.9566591
217	55.84817771
218	55.64883401
219	55.58829268
220	55.55134104
221	55.37166255
222	55.32975159
223	55.23649249
224	55.03358634
225	54.91004048
226	54.70253232
227	54.670467
228	54.49222239
229	54.19093612
230	53.97165026
231	53.75507755
232	53.60708624
233	53.41769121
234	53.2755465
235	53.06024641
236	52.94881169
237	52.83877346
238	52.69965827
239	52.67045571
240	52.52333197
241	52.39678859
242	52.28153777
243	52.17200855
244	51.95560075
245	51.71778238
246	51.57605723
247	51.30677442
248	51.27775401
249	51.10262967
250	50.92280043
251	50.73374907
252	50.56177888
253	50.43355181
254	50.40539085
255	50.33744982
256	50.31176155
257	50.25145345
258	50.10286987
259	49.92011025
260	49.73063744
261	49.64839438
262	49.62580625
263	49.4691567
264	49.28869824
265	49.12500389
266	48.95864404
267	48.77369501
268	48.59600383
269	48.4192022
270	48.28805994
271	48.14636606
272	48.00317634
273	47.89814391
274	47.87196561
275	47.73148465
276	47.64754527
277	47.49434186
278	47.3310211
279	47.28902424
280	47.14854556
281	46.98182916
282	46.75988742
283	46.62970723
284	46.51063061
285	46.47289717
286	46.29447349
287	46.12344264
288	45.97606258
289	45.84849077
290	45.67392542
291	45.47004643
292	45.4159122
293	45.32759742
294	45.18263796
295	45.01614574
296	44.90848385
297	44.78234028
298	44.6945229
299	44.5518538
300	44.39206595
301	44.27377291
302	44.13892598
303	43.96099661
304	43.7990887
305	43.63387421
306	43.43036871
307	43.34128777
308	43.32005414
309	43.17648074
310	42.9773999
311	42.82602813
312	42.69921418
313	42.59193264
314	42.42878527
315	42.27536536
316	42.18055634
317	42.07578471
318	41.90252953
319	41.71961224
320	41.61326112
321	41.58353382
322	41.43643229
323	41.28397955
324	41.18272945
325	41.12949143
326	41.0055515
327	40.88341473
328	40.84917289
329	40.73349825
330	40.63830232
331	40.48571989
332	40.40595865
333	40.2486555
334	40.1456898
335	40.03316408
336	40.01393081
337	39.91689392
338	39.75830248
339	39.6191509
340	39.52204659
341	39.44422112
342	39.3746625
343	39.25479337
344	39.18017095
345	39.08194928
346	38.96699421
347	38.91652381
348	38.82991101
349	38.78915863
350	38.67541187
351	38.66052582
352	38.53699087
353	38.47113234
354	38.38301335
355	38.27256055
356	38.21428851
357	38.10273795
358	38.01914308
359	37.87003553
360	37.74851597
361	37.70023163
362	37.59571093
363	37.45430439
364	37.4332141
365	37.34917744
366	37.24203315
367	37.06127764
368	37.01198471
369	36.92370968
370	36.83990112
371	36.73631889
372	36.61748895
373	36.476039
374	36.32319923
375	36.22302339
376	36.11145007
377	36.02476046
378	35.94283131
379	35.81660596
380	35.70882307
381	35.61465252
382	35.59888657
383	35.50114802
384	35.38914663
385	35.28457996
386	35.17450784
387	35.1065328
388	35.03196118
389	35.01273498
390	34.90041192
391	34.79865189
392	34.71747211
393	34.70997457
394	34.6044251
395	34.59697067
396	34.51674735
397	34.4237377
398	34.33614082
399	34.25080697
400	34.24242647
401	34.11319451
402	34.10034238
403	33.99006523
404	33.86932907
405	33.79970179
406	33.792946
407	33.73772547
408	33.72777957
409	33.62312734
410	33.54564277
411	33.42631627
412	33.4192158
413	33.30359994
414	33.29712463
415	33.15783347
416	33.06945958
417	33.06303822
418	32.96290013
419	32.86613577
420	32.85482976
421	32.84914418
422	32.72608749
423	32.66802715
424	32.58296437
425	32.50477847
426	32.41827126
427	32.41256693
428	32.39938239
429	32.29907071
430	32.17074059
431	32.10030212
432	32.03233016
433	31.92610546
434	31.85393265
435	31.77584195
436	31.65659123
437	31.65137589
438	31.56681143
439	31.5482625
440	31.48209938
441	31.400215
442	31.38875501
443	31.2920132
444	31.28502717
445	31.280791
446	31.17938403
447	31.17015031
448	31.16531907
449	31.16076272
450	31.15683221
451	31.07217179
452	31.06739628
453	30.93945993
454	30.85435948
455	30.74940148
456	30.67249164
457	30.60291678
458	30.51251125
459	30.45694595
460	30.36470504
461	30.25316344
462	30.13318046
463	30.12329318
464	30.05433593
465	30.04227648
466	29.94452474
467	29.94031833
468	29.85933732
469	29.85510414
470	29.78895463
471	29.6999788
472	29.60297734
473	29.5168317
474	29.42294422
475	29.32848557
476	29.2344794
477	29.15273202
478	29.06739328
479	28.97304896
480	28.90243585
481	28.84327629
482	28.72447174
483	28.71187753
484	28.63816521
485	28.62318987
486	28.61214207
487	28.55520566
488	28.4643597
489	28.42988895
490	28.33524374
491	28.33185609
492	28.24933222
493	28.16355912
494	28.16016609
495	28.07897611
496	27.97620673
497	27.97170046
498	27.90095376
499	27.85246776
500	27.74113562
501	27.7082275
502	27.6074022
503	27.55024277
504	27.46336109
505	27.38791978
506	27.32047581
507	27.24341149
508	27.14403873
509	27.04063238
510	26.93842886
511	26.86637314
512	26.85355161
513	26.8202693
514	26.74994632
515	26.69299612
516	26.62583926
517	26.55706677
518	26.48647785
519	26.42939755
520	26.36495084
521	26.29890232
522	26.29477776
523	26.23445308
524	26.16686267
525	26.15478918
526	26.06505785
527	25.97590471
528	25.89488796
529	25.81950514
530	25.72092618
531	25.67057169
532	25.62631058
533	25.55879396
534	25.47593865
535	25.39522437
536	25.28576145
537	25.2432689
538	25.17029788
539	25.09054147
540	25.04172181
541	25.02916772
542	24.9497688
543	24.94671983
544	24.91922651
545	24.86256599
546	24.80350436
547	24.79157002
548	24.69729221
549	24.64210835
550	24.58540911
551	24.49737573
552	24.43002277
553	24.42708059
554	24.35550921
555	24.34722617
556	24.30322734
557	24.24236961
558	24.14473717
559	24.09845763
560	24.02118768
561	23.98756672
562	23.90869095
563	23.8374399
564	23.8309471
565	23.77960646
566	23.69624984
567	23.64429105
568	23.55962814
569	23.49528639
570	23.4524642
571	23.39488784
572	23.38465005
573	23.33377445
574	23.32803448
575	23.27373246
576	23.20142033
577	23.15359655
578	23.15096396
579	23.0764864
580	23.00158072
581	22.9322995
582	22.87946804
583	22.80832143
584	22.75700379
585	22.69394939
586	22.62971865
587	22.58223514
588	22.49976404
589	22.46103777
590	22.39800632
591	22.33792462
592	22.28794188
593	22.23561206
594	22.16791549
595	22.13063864
596	22.05990229
597	21.99506401
598	21.98943463
599	21.92861586
600	21.89009706
601	21.80882419
602	21.76295197
603	21.7065047
604	21.66624591
605	21.62505387
606	21.58391976
607	21.52732758
608	21.48292504
609	21.47361991
610	21.40315174
611	21.36209118
612	21.33191938
613	21.27308824
614	21.21720728
615	21.1765592
616	21.11272867
617	21.06324457
618	21.00970057
619	20.97151235
620	20.92545319
621	20.87254832
622	20.80517891
623	20.75621256
624	20.75002119
625	20.71957012
626	20.68152643
627	20.65707948
628	20.61115014
629	20.57589622
630	20.52975002
631	20.46514667
632	20.41337048
633	20.34853426
634	20.30808437
635	20.26423858
636	20.19589633
637	20.12657628
638	20.0559055
639	20.01258253
640	19.96383148
641	19.94228299
642	19.90047413
643	19.86145381
644	19.83255493
645	19.78537645
