X_s	Y_s	X_p	Y_p	X_d	Y_d	X_f	Y_f	X_sum	Y_sum
-22.2058593	0	-22.2058593	0	-22.2058593	0	-22.2058593	0	-22.2058593	0
-22.19487854	0	-22.19487854	0	-22.19487854	0	-22.19487854	0	-22.19487854	0
-21.11876398	0.000121936	-20.888168	0.000101243	-20.86620648	0.000101206	22.77133688	0	-21.11876398	0.000123424
-21.10778322	0.000156364	-20.87718724	0.000122692	-20.85522572	0.000121724			-21.10778322	0.000158272
-21.09680246	0.00019991	-20.86620648	0.000148274	-20.84424496	0.000145991			-21.09680246	0.000202349
-21.0858217	0.000254812	-20.85522572	0.000178696	-20.8332642	0.000175131			-21.0858217	0.000257921
-21.07484094	0.000323815	-20.84424496	0.000214765	-20.82228344	0.00020944			-21.07484094	0.000327766
-21.06386017	0.000410266	-20.8332642	0.000259317	-20.81130268	0.000249202			-21.06386017	0.000415272
-21.05287941	0.000518233	-20.82228344	0.000312145	-20.80032192	0.000296656			-21.05287941	0.000524556
-21.04189865	0.000652641	-20.81130268	0.000372471	-20.78934115	0.000351136			-21.04189865	0.000660604
-21.03091789	0.000819437	-20.80032192	0.00044593	-20.77836039	0.000414495			-21.03091789	0.000829435
-21.01993713	0.001025763	-20.78934115	0.000529552	-20.76737963	0.000487966			-21.01993713	0.001038278
-21.00895637	0.001280175	-20.77836039	0.000627226	-20.75639887	0.000572919			-21.00895637	0.001295795
-20.99797561	0.001592879	-20.76737963	0.000741	-20.74541811	0.000670863			-20.99797561	0.001612314
-20.98699485	0.001976	-20.75639887	0.000873167	-20.73443735	0.000784041			-20.98699485	0.002000109
-20.97601409	0.00256279	-20.74541811	0.001026288	-20.72345659	0.000913847			-20.97601409	0.002595636
-20.96503333	0.003165946	-20.73443735	0.001205098	-20.71247583	0.001061754			-20.96503333	0.003206596
-20.95405257	0.003899557	-20.72345659	0.001411328	-20.70149507	0.001230384			-20.95405257	0.003949721
-20.94307181	0.004789052	-20.71247583	0.001646816	-20.69051431	0.001423296			-20.94307181	0.004850779
-20.93209104	0.005864184	-20.70149507	0.001916875	-20.67953355	0.001640991			-20.93209104	0.005939921
-20.92111028	0.007279981	-20.69051431	0.002229418	-20.66855279	0.00188716			-20.92111028	0.007374466
-20.91012952	0.008869975	-20.67953355	0.00258288	-20.65757203	0.002164764			-20.91012952	0.008985357
-20.89914876	0.010776092	-20.66855279	0.002985253	-20.64659126	0.002476961			-20.89914876	0.010916595
-20.888168	0.013054163	-20.65757203	0.003442164	-20.6356105	0.002827856			-20.888168	0.013224778
-20.87718724	0.015768412	-20.64659126	0.003959726	-20.62462974	0.003219725			-20.87718724	0.015975014
-20.86620648	0.018992423	-20.6356105	0.004546657	-20.61364898	0.003657577			-20.86620648	0.019241903
-20.85522572	0.02281018	-20.62462974	0.005206487	-20.60266822	0.004144207			-20.85522572	0.023110599
-20.84424496	0.027317152	-20.61364898	0.005950831	-20.59168746	0.004684275			-20.84424496	0.027677908
-20.8332642	0.032679344	-20.60266822	0.006784081	-20.5807067	0.00528209			-20.8332642	0.033113791
-20.82228344	0.038977042	-20.59168746	0.007716891	-20.56972594	0.005942119			-20.82228344	0.039498626
-20.81130268	0.046293651	-20.5807067	0.008758753	-20.55874518	0.006670013			-20.81130268	0.046915323
-20.80032192	0.054946316	-20.56972594	0.009919769	-20.54776442	0.007468725			-20.80032192	0.055688902
-20.78934115	0.064906698	-20.55874518	0.011212724	-20.53678366	0.00834491			-20.78934115	0.065787386
-20.77836039	0.07645957	-20.54776442	0.012645401	-20.5258029	0.00930182			-20.77836039	0.07750129
-20.76737963	0.089819331	-20.53678366	0.014233615	-20.51482214	0.010346566			-20.76737963	0.091048297
-20.75639887	0.105222304	-20.5258029	0.015986154	-20.50384137	0.011481961			-20.75639887	0.10666839
