File_name,Total_energy,Adsorption_energy,Rigid_adsorption_energy,Deformation_energy,dEad/dNi
op_00 (3 1 1).std.csv,-1.2358,-1.462,-1.2358,-0.22611,-1.462
op_01 (3 1 1).std.csv,-1.241,-1.4671,-1.2411,-0.22602,-1.4671
op_02 (3 1 1).std.csv,-1.1697,-1.3959,-1.1698,-0.2261,-1.3959
op_03 (3 1 1).std.csv,-1.2304,-1.4565,-1.2304,-0.22608,-1.4565
op_04 (3 1 1).std.csv,-1.2511,-1.4772,-1.2511,-0.22611,-1.4772
op_05 (3 1 1).std.csv,-1.0399,-1.266,-1.0399,-0.22611,-1.266
op_06 (3 1 1).std.csv,-1.1016,-1.3277,-1.1016,-0.22612,-1.3277
op_07 (3 1 1).std.csv,-1.2273,-1.4534,-1.2273,-0.22611,-1.4534
op_08 (3 1 1).std.csv,-1.2059,-1.432,-1.2059,-0.22609,-1.432
op_09 (3 1 1).std.csv,-1.2557,-1.4818,-1.2558,-0.22603,-1.4818
op_10 (3 1 1).std.csv,-1.1978,-1.4239,-1.1978,-0.2261,-1.4239
op_11 (3 1 1).std.csv,-1.2336,-1.4598,-1.2337,-0.22608,-1.4598
op_12 (3 1 1).std.csv,-1.1344,-1.3606,-1.1345,-0.22609,-1.3606
op_13 (3 1 1).std.csv,-1.2373,-1.4635,-1.2374,-0.22609,-1.4635
op_14 (3 1 1).std.csv,-1.1489,-1.375,-1.1489,-0.22609,-1.375
op_15 (3 1 1).std.csv,-1.0704,-1.2965,-1.0704,-0.22612,-1.2965
op_16 (3 1 1).std.csv,-1.2133,-1.4395,-1.2133,-0.22612,-1.4395
op_17 (3 1 1).std.csv,-1.2721,-1.4982,-1.2721,-0.22608,-1.4982
op_18 (3 1 1).std.csv,-1.2651,-1.4913,-1.2656,-0.22563,-1.4913
op_19 (3 1 1).std.csv,-1.2421,-1.4682,-1.2421,-0.22608,-1.4682
op_20 (3 1 1).std.csv,-1.0474,-1.2735,-1.0475,-0.226,-1.2735
op_21 (3 1 1).std.csv,-1.2435,-1.4696,-1.2435,-0.22612,-1.4696
op_22 (3 1 1).std.csv,-1.2295,-1.4556,-1.2295,-0.2261,-1.4556
op_23 (3 1 1).std.csv,-1.021,-1.2471,-1.0211,-0.22605,-1.2471
op_24 (3 1 1).std.csv,-1.1239,-1.35,-1.1239,-0.2261,-1.35
op_25 (3 1 1).std.csv,-1.1562,-1.3823,-1.1562,-0.22611,-1.3823
op_26 (3 1 1).std.csv,-1.0804,-1.3065,-1.0804,-0.22608,-1.3065
op_27 (3 1 1).std.csv,-1.1112,-1.3374,-1.1112,-0.22612,-1.3374
op_28 (3 1 1).std.csv,-1.2365,-1.4627,-1.2365,-0.22612,-1.4627
op_29 (3 1 1).std.csv,-1.2519,-1.478,-1.252,-0.22603,-1.478
op_30 (3 1 1).std.csv,-1.2638,-1.4899,-1.2638,-0.2261,-1.4899
op_31 (3 1 1).std.csv,-1.193,-1.4192,-1.1947,-0.2245,-1.4192
op_32 (3 1 1).std.csv,-1.1957,-1.4218,-1.1957,-0.2261,-1.4218
op_33 (3 1 1).std.csv,-1.1788,-1.4049,-1.1788,-0.22609,-1.4049
op_34 (3 1 1).std.csv,-1.1104,-1.3365,-1.1104,-0.22609,-1.3365
op_35 (3 1 1).std.csv,-1.1208,-1.3469,-1.1208,-0.22609,-1.3469
