File_name,Total_energy,Adsorption_energy,Rigid_adsorption_energy,Deformation_energy,dEad/dNi
op_000 (3 1 1).std.csv,-1.2654,-1.4915,-1.2654,-0.22611,-1.4915
op_001 (3 1 1).std.csv,-1.0825,-1.3086,-1.0825,-0.22608,-1.3086
op_002 (3 1 1).std.csv,-1.2564,-1.4825,-1.2564,-0.22612,-1.4825
op_003 (3 1 1).std.csv,-1.1632,-1.3894,-1.1633,-0.22609,-1.3894
op_004 (3 1 1).std.csv,-1.2372,-1.4633,-1.2372,-0.22609,-1.4633
op_005 (3 1 1).std.csv,-1.2618,-1.4879,-1.2618,-0.22609,-1.4879
op_006 (3 1 1).std.csv,-1.0858,-1.3119,-1.0858,-0.22612,-1.3119
op_007 (3 1 1).std.csv,-1.0496,-1.2757,-1.0496,-0.22611,-1.2757
op_008 (3 1 1).std.csv,-1.2792,-1.5053,-1.2794,-0.22598,-1.5053
op_009 (3 1 1).std.csv,-1.1369,-1.363,-1.1369,-0.22612,-1.363
op_010 (3 1 1).std.csv,-1.2279,-1.454,-1.2279,-0.22612,-1.454
op_011 (3 1 1).std.csv,-1.2421,-1.4682,-1.2421,-0.2261,-1.4682
op_012 (3 1 1).std.csv,-1.158,-1.3842,-1.1581,-0.22604,-1.3842
op_014 (3 1 1).std.csv,-1.0759,-1.3021,-1.0759,-0.22612,-1.3021
op_015 (3 1 1).std.csv,-1.2022,-1.4283,-1.2023,-0.22607,-1.4283
op_016 (3 1 1).std.csv,-1.2568,-1.4829,-1.2568,-0.22612,-1.4829
op_017 (3 1 1).std.csv,-1.2732,-1.4993,-1.2732,-0.22611,-1.4993
op_018 (3 1 1).std.csv,-1.2074,-1.4335,-1.2074,-0.2261,-1.4335
op_019 (3 1 1).std.csv,-1.1543,-1.3804,-1.1543,-0.22611,-1.3804
op_021 (3 1 1).std.csv,-1.1633,-1.3894,-1.1633,-0.22611,-1.3894
op_024 (3 1 1).std.csv,-1.2493,-1.4754,-1.2493,-0.2261,-1.4754
op_027 (3 1 1).std.csv,-1.1823,-1.4084,-1.1823,-0.22609,-1.4084
op_029 (3 1 1).std.csv,-1.2805,-1.5067,-1.2806,-0.2261,-1.5067
op_030 (3 1 1).std.csv,-1.1855,-1.4116,-1.1855,-0.22612,-1.4116
op_032 (3 1 1).std.csv,-1.2373,-1.4634,-1.2373,-0.22612,-1.4634
op_033 (3 1 1).std.csv,-1.2389,-1.465,-1.2389,-0.22608,-1.465
op_037 (3 1 1).std.csv,-1.193,-1.4191,-1.193,-0.22609,-1.4191
op_038 (3 1 1).std.csv,-1.2094,-1.4355,-1.2094,-0.22609,-1.4355
op_039 (3 1 1).std.csv,-1.1771,-1.4033,-1.1772,-0.2261,-1.4033
op_040 (3 1 1).std.csv,-1.243,-1.4692,-1.243,-0.22612,-1.4692
op_041 (3 1 1).std.csv,-1.0922,-1.3183,-1.0922,-0.22612,-1.3183
op_042 (3 1 1).std.csv,-1.2611,-1.4872,-1.2611,-0.22611,-1.4872
op_043 (3 1 1).std.csv,-1.2004,-1.4265,-1.2004,-0.22609,-1.4265
op_044 (3 1 1).std.csv,-1.0951,-1.3213,-1.0951,-0.22611,-1.3213
op_045 (3 1 1).std.csv,-1.2187,-1.4448,-1.2187,-0.22612,-1.4448
op_046 (3 1 1).std.csv,-1.2301,-1.4562,-1.2302,-0.22609,-1.4562
op_047 (3 1 1).std.csv,-1.2789,-1.5051,-1.279,-0.22609,-1.5051
op_048 (3 1 1).std.csv,-1.2095,-1.4356,-1.2095,-0.2261,-1.4356
op_049 (3 1 1).std.csv,-0.93205,-1.1582,-0.93207,-0.22611,-1.1582
op_050 (3 1 1).std.csv,-1.2623,-1.4884,-1.2623,-0.22612,-1.4884
op_051 (3 1 1).std.csv,-1.1599,-1.386,-1.1599,-0.22612,-1.386
op_052 (3 1 1).std.csv,-1.2057,-1.4318,-1.2057,-0.22612,-1.4318
op_053 (3 1 1).std.csv,-1.1862,-1.4124,-1.1862,-0.22612,-1.4124
op_054 (3 1 1).std.csv,-1.2582,-1.4843,-1.2582,-0.2261,-1.4843
op_055 (3 1 1).std.csv,-1.2613,-1.4874,-1.2613,-0.22611,-1.4874
op_056 (3 1 1).std.csv,-1.1835,-1.4096,-1.1835,-0.22608,-1.4096
op_057 (3 1 1).std.csv,-1.2256,-1.4517,-1.2256,-0.2261,-1.4517
op_059 (3 1 1).std.csv,-1.2615,-1.4876,-1.2615,-0.2261,-1.4876
op_060 (3 1 1).std.csv,-1.2558,-1.4819,-1.2558,-0.22611,-1.4819
op_061 (3 1 1).std.csv,-1.0905,-1.3166,-1.0906,-0.226,-1.3166
op_062 (3 1 1).std.csv,-1.1883,-1.4144,-1.1883,-0.22607,-1.4144
op_063 (3 1 1).std.csv,-1.2721,-1.4982,-1.2721,-0.22611,-1.4982
op_064 (3 1 1).std.csv,-1.0915,-1.3176,-1.0915,-0.22611,-1.3176
