File_name,Total_energy,Adsorption_energy,Rigid_adsorption_energy,Deformation_energy,dEad/dNi
op_000 (3 1 1).std.csv,-1.26696,-28.3876,-1.56986,-26.8178,-28.3876
op_001 (3 1 1).std.csv,-1.30895,-28.4296,-1.61083,-26.8188,-28.4296
op_002 (3 1 1).std.csv,-1.25857,-28.3792,-1.5596,-26.8196,-28.3792
op_003 (3 1 1).std.csv,-1.05556,-28.1762,-1.357,-26.8192,-28.1762
op_004 (3 1 1).std.csv,-1.33742,-28.4581,-1.63914,-26.8189,-28.4581
op_005 (3 1 1).std.csv,-1.23054,-28.3512,-1.53218,-26.819,-28.3512
op_006 (3 1 1).std.csv,-1.11098,-28.2316,-1.41251,-26.8191,-28.2316
op_007 (3 1 1).std.csv,-1.25823,-28.3789,-1.55941,-26.8195,-28.3789
op_008 (3 1 1).std.csv,-1.33166,-28.4523,-1.63266,-26.8197,-28.4523
op_009 (3 1 1).std.csv,-1.25935,-28.38,-1.56071,-26.8193,-28.38
op_010 (3 1 1).std.csv,-1.22834,-28.349,-1.52932,-26.8197,-28.349
op_011 (3 1 1).std.csv,-1.17893,-28.2996,-1.48024,-26.8193,-28.2996
op_012 (3 1 1).std.csv,-1.22124,-28.3419,-1.52205,-26.8198,-28.3419
op_013 (3 1 1).std.csv,-1.22496,-28.3456,-1.52584,-26.8198,-28.3456
op_014 (3 1 1).std.csv,-1.28379,-28.4044,-1.58476,-26.8197,-28.4044
op_015 (3 1 1).std.csv,-1.36114,-28.4818,-1.66333,-26.8185,-28.4818
op_016 (3 1 1).std.csv,-1.25048,-28.3711,-1.55138,-26.8198,-28.3711
op_017 (3 1 1).std.csv,-1.29298,-28.4136,-1.59437,-26.8193,-28.4136
op_018 (3 1 1).std.csv,-1.30647,-28.4271,-1.60838,-26.8188,-28.4271
op_019 (3 1 1).std.csv,-1.37396,-28.4946,-1.67483,-26.8198,-28.4946
op_020 (3 1 1).std.csv,-1.24208,-28.3627,-1.543,-26.8197,-28.3627
op_021 (3 1 1).std.csv,-1.32239,-28.4431,-1.62533,-26.8177,-28.4431
op_022 (3 1 1).std.csv,-1.37189,-28.4926,-1.67279,-26.8198,-28.4926
op_023 (3 1 1).std.csv,-1.22673,-28.3474,-1.52753,-26.8199,-28.3474
op_024 (3 1 1).std.csv,-1.35095,-28.4716,-1.65175,-26.8199,-28.4716
op_025 (3 1 1).std.csv,-1.21297,-28.3336,-1.51371,-26.8199,-28.3336
op_026 (3 1 1).std.csv,-1.33051,-28.4512,-1.63129,-26.8199,-28.4512
op_027 (3 1 1).std.csv,-1.3234,-28.4441,-1.62558,-26.8185,-28.4441
op_028 (3 1 1).std.csv,-1.2797,-28.4004,-1.58312,-26.8172,-28.4004
op_029 (3 1 1).std.csv,-1.25129,-28.372,-1.55214,-26.8198,-28.372
op_030 (3 1 1).std.csv,-1.17812,-28.2988,-1.47902,-26.8198,-28.2988
op_031 (3 1 1).std.csv,-1.37766,-28.4983,-1.67849,-26.8198,-28.4983
op_032 (3 1 1).std.csv,-1.29966,-28.4203,-1.60152,-26.8188,-28.4203
op_033 (3 1 1).std.csv,-1.34977,-28.4704,-1.65096,-26.8195,-28.4704
op_034 (3 1 1).std.csv,-1.33696,-28.4576,-1.63795,-26.8197,-28.4576
op_035 (3 1 1).std.csv,-1.10883,-28.2295,-1.40965,-26.8198,-28.2295
op_036 (3 1 1).std.csv,-1.33965,-28.4603,-1.64296,-26.8173,-28.4603
op_037 (3 1 1).std.csv,-1.25434,-28.375,-1.5554,-26.8196,-28.375
op_038 (3 1 1).std.csv,-1.31014,-28.4308,-1.6109,-26.8199,-28.4308
op_039 (3 1 1).std.csv,-1.29016,-28.4108,-1.59105,-26.8198,-28.4108
op_040 (3 1 1).std.csv,-1.23236,-28.353,-1.53353,-26.8195,-28.353
op_041 (3 1 1).std.csv,-1.31718,-28.4378,-1.61864,-26.8192,-28.4378
op_042 (3 1 1).std.csv,-1.20438,-28.325,-1.50651,-26.8185,-28.325
op_043 (3 1 1).std.csv,-1.14936,-28.27,-1.45053,-26.8195,-28.27
op_044 (3 1 1).std.csv,-1.3402,-28.4609,-1.64175,-26.8191,-28.4609
op_045 (3 1 1).std.csv,-1.28064,-28.4013,-1.58183,-26.8195,-28.4013
op_046 (3 1 1).std.csv,-1.20615,-28.3268,-1.50768,-26.8191,-28.3268
op_047 (3 1 1).std.csv,-1.29924,-28.4199,-1.60088,-26.819,-28.4199
op_048 (3 1 1).std.csv,-1.23414,-28.3548,-1.53504,-26.8198,-28.3548
op_049 (3 1 1).std.csv,-1.32779,-28.4485,-1.63203,-26.8164,-28.4485
op_050 (3 1 1).std.csv,-1.20933,-28.33,-1.51026,-26.8197,-28.33
op_051 (3 1 1).std.csv,-1.21281,-28.3335,-1.51432,-26.8191,-28.3335
op_052 (3 1 1).std.csv,-1.32902,-28.4497,-1.62997,-26.8197,-28.4497
op_053 (3 1 1).std.csv,-1.34326,-28.4639,-1.6466,-26.8173,-28.4639
op_054 (3 1 1).std.csv,-1.32425,-28.4449,-1.62522,-26.8197,-28.4449
op_055 (3 1 1).std.csv,-1.24467,-28.3653,-1.54552,-26.8198,-28.3653
op_056 (3 1 1).std.csv,-1.36991,-28.4906,-1.6709,-26.8197,-28.4906
op_057 (3 1 1).std.csv,-1.2917,-28.4124,-1.59336,-26.819,-28.4124
op_058 (3 1 1).std.csv,-1.11201,-28.2327,-1.41277,-26.8199,-28.2327
op_059 (3 1 1).std.csv,-1.29278,-28.4134,-1.5936,-26.8198,-28.4134
op_060 (3 1 1).std.csv,-1.27161,-28.3923,-1.57263,-26.8196,-28.3923
op_061 (3 1 1).std.csv,-1.33668,-28.4573,-1.6375,-26.8198,-28.4573
op_062 (3 1 1).std.csv,-1.20688,-28.3275,-1.50841,-26.8191,-28.3275
op_063 (3 1 1).std.csv,-1.31438,-28.435,-1.61583,-26.8192,-28.435
op_064 (3 1 1).std.csv,-1.15187,-28.2725,-1.45418,-26.8183,-28.2725
op_065 (3 1 1).std.csv,-1.24009,-28.3608,-1.54214,-26.8186,-28.3608
op_066 (3 1 1).std.csv,-1.36866,-28.4893,-1.66961,-26.8197,-28.4893
op_067 (3 1 1).std.csv,-1.22197,-28.3426,-1.52309,-26.8195,-28.3426
op_068 (3 1 1).std.csv,-1.13171,-28.2524,-1.43398,-26.8184,-28.2524
op_069 (3 1 1).std.csv,-1.37977,-28.5004,-1.68057,-26.8199,-28.5004
op_070 (3 1 1).std.csv,-1.27719,-28.3979,-1.57832,-26.8195,-28.3979
op_071 (3 1 1).std.csv,-1.21834,-28.339,-1.52131,-26.8177,-28.339
op_072 (3 1 1).std.csv,-1.22728,-28.3479,-1.52895,-26.819,-28.3479
op_073 (3 1 1).std.csv,-1.34161,-28.4623,-1.64288,-26.8194,-28.4623
op_074 (3 1 1).std.csv,-1.32387,-28.4445,-1.62607,-26.8185,-28.4445
op_075 (3 1 1).std.csv,-1.23969,-28.3604,-1.54047,-26.8199,-28.3604
op_076 (3 1 1).std.csv,-1.34601,-28.4667,-1.64839,-26.8183,-28.4667
op_077 (3 1 1).std.csv,-1.2236,-28.3443,-1.52474,-26.8195,-28.3443
op_078 (3 1 1).std.csv,-1.18435,-28.305,-1.4857,-26.8193,-28.305
op_079 (3 1 1).std.csv,-1.27343,-28.3941,-1.57507,-26.819,-28.3941
op_080 (3 1 1).std.csv,-1.31236,-28.433,-1.61399,-26.819,-28.433
op_081 (3 1 1).std.csv,-1.34824,-28.4689,-1.64908,-26.8198,-28.4689
op_082 (3 1 1).std.csv,-1.21027,-28.3309,-1.51176,-26.8192,-28.3309
op_083 (3 1 1).std.csv,-1.26882,-28.3895,-1.5701,-26.8194,-28.3895
op_084 (3 1 1).std.csv,-1.37993,-28.5006,-1.68073,-26.8199,-28.5006
op_085 (3 1 1).std.csv,-1.35264,-28.4733,-1.65361,-26.8197,-28.4733
op_086 (3 1 1).std.csv,-1.22253,-28.3432,-1.52421,-26.819,-28.3432
op_087 (3 1 1).std.csv,-1.21615,-28.3368,-1.51863,-26.8182,-28.3368
op_088 (3 1 1).std.csv,-1.34817,-28.4688,-1.64917,-26.8197,-28.4688
op_089 (3 1 1).std.csv,-1.32787,-28.4485,-1.62918,-26.8194,-28.4485
op_090 (3 1 1).std.csv,-1.15784,-28.2785,-1.45867,-26.8198,-28.2785
op_091 (3 1 1).std.csv,-1.31062,-28.4313,-1.61333,-26.818,-28.4313
op_092 (3 1 1).std.csv,-1.36071,-28.4814,-1.66158,-26.8198,-28.4814
op_093 (3 1 1).std.csv,-1.22929,-28.35,-1.5303,-26.8197,-28.35
op_094 (3 1 1).std.csv,-1.17336,-28.294,-1.47424,-26.8198,-28.294
op_095 (3 1 1).std.csv,-1.2487,-28.3694,-1.54952,-26.8198,-28.3694
op_096 (3 1 1).std.csv,-1.31059,-28.4312,-1.6141,-26.8171,-28.4312
op_097 (3 1 1).std.csv,-1.31514,-28.4358,-1.616,-26.8198,-28.4358
op_098 (3 1 1).std.csv,-1.36142,-28.4821,-1.66234,-26.8197,-28.4821
op_099 (3 1 1).std.csv,-1.35663,-28.4773,-1.65775,-26.8195,-28.4773
op_100 (3 1 1).std.csv,-1.2892,-28.4099,-1.59006,-26.8198,-28.4099
op_101 (3 1 1).std.csv,-1.29184,-28.4125,-1.59391,-26.8186,-28.4125
op_102 (3 1 1).std.csv,-1.21758,-28.3382,-1.52266,-26.8156,-28.3382
op_103 (3 1 1).std.csv,-1.34617,-28.4668,-1.64728,-26.8196,-28.4668
op_104 (3 1 1).std.csv,-1.16065,-28.2813,-1.46143,-26.8199,-28.2813
op_105 (3 1 1).std.csv,-1.35057,-28.4712,-1.65343,-26.8178,-28.4712
op_106 (3 1 1).std.csv,-1.17774,-28.2984,-1.47852,-26.8199,-28.2984
op_107 (3 1 1).std.csv,-1.27202,-28.3927,-1.57472,-26.818,-28.3927
op_108 (3 1 1).std.csv,-1.32055,-28.4412,-1.62172,-26.8195,-28.4412
op_109 (3 1 1).std.csv,-1.32908,-28.4497,-1.63061,-26.8191,-28.4497
op_110 (3 1 1).std.csv,-1.37062,-28.4913,-1.67198,-26.8193,-28.4913
op_111 (3 1 1).std.csv,-1.19938,-28.32,-1.50042,-26.8196,-28.32
op_112 (3 1 1).std.csv,-1.24923,-28.3699,-1.55006,-26.8198,-28.3699
op_113 (3 1 1).std.csv,-1.14209,-28.2628,-1.44293,-26.8198,-28.2628
op_114 (3 1 1).std.csv,-1.21571,-28.3364,-1.51943,-26.8169,-28.3364
op_115 (3 1 1).std.csv,-1.26205,-28.3827,-1.56313,-26.8196,-28.3827
op_116 (3 1 1).std.csv,-1.13983,-28.2605,-1.44081,-26.8197,-28.2605
op_117 (3 1 1).std.csv,-1.2142,-28.3349,-1.5161,-26.8188,-28.3349
op_118 (3 1 1).std.csv,-1.35554,-28.4762,-1.65642,-26.8198,-28.4762
op_119 (3 1 1).std.csv,-1.23519,-28.3559,-1.53603,-26.8198,-28.3559
op_120 (3 1 1).std.csv,-1.36171,-28.4824,-1.66386,-26.8185,-28.4824
op_121 (3 1 1).std.csv,-1.23647,-28.3571,-1.5408,-26.8163,-28.3571
op_122 (3 1 1).std.csv,-1.31856,-28.4392,-1.61951,-26.8197,-28.4392
op_123 (3 1 1).std.csv,-1.3046,-28.4253,-1.60561,-26.8196,-28.4253
op_124 (3 1 1).std.csv,-1.28717,-28.4078,-1.58806,-26.8198,-28.4078
op_125 (3 1 1).std.csv,-1.32995,-28.4506,-1.63221,-26.8184,-28.4506
op_126 (3 1 1).std.csv,-1.3644,-28.4851,-1.66787,-26.8172,-28.4851
op_127 (3 1 1).std.csv,-1.38107,-28.5017,-1.68201,-26.8197,-28.5017
op_128 (3 1 1).std.csv,-1.35005,-28.4707,-1.6513,-26.8194,-28.4707
op_129 (3 1 1).std.csv,-1.2981,-28.4188,-1.59883,-26.8199,-28.4188
op_130 (3 1 1).std.csv,-1.29706,-28.4177,-1.59885,-26.8189,-28.4177
op_131 (3 1 1).std.csv,-1.3762,-28.4969,-1.67736,-26.8195,-28.4969
op_132 (3 1 1).std.csv,-1.17242,-28.2931,-1.47421,-26.8189,-28.2931
op_133 (3 1 1).std.csv,-1.2201,-28.3408,-1.52111,-26.8197,-28.3408
op_134 (3 1 1).std.csv,-1.29477,-28.4154,-1.59596,-26.8195,-28.4154
op_135 (3 1 1).std.csv,-1.26039,-28.3811,-1.56182,-26.8192,-28.3811
op_136 (3 1 1).std.csv,-1.22926,-28.3499,-1.53379,-26.8161,-28.3499
op_137 (3 1 1).std.csv,-1.35928,-28.4799,-1.66031,-26.8196,-28.4799
op_138 (3 1 1).std.csv,-1.37176,-28.4924,-1.67422,-26.8182,-28.4924
op_139 (3 1 1).std.csv,-1.25193,-28.3726,-1.55312,-26.8195,-28.3726
op_140 (3 1 1).std.csv,-1.29003,-28.4107,-1.59133,-26.8194,-28.4107
op_141 (3 1 1).std.csv,-1.19955,-28.3202,-1.50069,-26.8195,-28.3202
op_142 (3 1 1).std.csv,-1.2013,-28.322,-1.5025,-26.8195,-28.322
op_143 (3 1 1).std.csv,-1.23373,-28.3544,-1.53457,-26.8198,-28.3544
op_144 (3 1 1).std.csv,-1.20834,-28.329,-1.50923,-26.8198,-28.329
op_145 (3 1 1).std.csv,-1.22876,-28.3494,-1.52955,-26.8199,-28.3494
op_146 (3 1 1).std.csv,-1.39257,-28.5132,-1.69335,-26.8199,-28.5132
