File_name,Total_energy,Adsorption_energy,Rigid_adsorption_energy,Deformation_energy,dEad/dNi
op_000 (3 1 1).std.csv,-1.24014,-28.3608,-1.54193,-26.8189,-28.3608
op_001 (3 1 1).std.csv,-1.29804,-28.4187,-1.59889,-26.8198,-28.4187
op_002 (3 1 1).std.csv,-1.34974,-28.4704,-1.65106,-26.8193,-28.4704
op_003 (3 1 1).std.csv,-1.31773,-28.4384,-1.61853,-26.8199,-28.4384
op_004 (3 1 1).std.csv,-1.16022,-28.2809,-1.46111,-26.8198,-28.2809
op_005 (3 1 1).std.csv,-1.19771,-28.3184,-1.49855,-26.8198,-28.3184
op_006 (3 1 1).std.csv,-1.19511,-28.3158,-1.49595,-26.8198,-28.3158
op_007 (3 1 1).std.csv,-1.32222,-28.4429,-1.62342,-26.8195,-28.4429
op_008 (3 1 1).std.csv,-1.24752,-28.3682,-1.55041,-26.8178,-28.3682
op_009 (3 1 1).std.csv,-1.26078,-28.3814,-1.56174,-26.8197,-28.3814
op_010 (3 1 1).std.csv,-1.16013,-28.2808,-1.46206,-26.8187,-28.2808
op_011 (3 1 1).std.csv,-1.10628,-28.2269,-1.40702,-26.8199,-28.2269
op_012 (3 1 1).std.csv,-1.16872,-28.2894,-1.46967,-26.8197,-28.2894
op_013 (3 1 1).std.csv,-1.29302,-28.4137,-1.5946,-26.8191,-28.4137
op_014 (3 1 1).std.csv,-1.20142,-28.3221,-1.5022,-26.8199,-28.3221
op_015 (3 1 1).std.csv,-1.26792,-28.3886,-1.56877,-26.8198,-28.3886
op_016 (3 1 1).std.csv,-1.28619,-28.4069,-1.5875,-26.8194,-28.4069
op_017 (3 1 1).std.csv,-1.11461,-28.2353,-1.41541,-26.8199,-28.2353
op_018 (3 1 1).std.csv,-1.27012,-28.3908,-1.57115,-26.8196,-28.3908
op_019 (3 1 1).std.csv,-1.3091,-28.4298,-1.61027,-26.8195,-28.4298
op_020 (3 1 1).std.csv,-1.22791,-28.3486,-1.52916,-26.8194,-28.3486
op_021 (3 1 1).std.csv,-1.30327,-28.4239,-1.61091,-26.813,-28.4239
op_022 (3 1 1).std.csv,-1.3171,-28.4378,-1.61794,-26.8198,-28.4378
op_023 (3 1 1).std.csv,-1.31411,-28.4348,-1.61555,-26.8192,-28.4348
op_024 (3 1 1).std.csv,-1.15293,-28.2736,-1.4546,-26.819,-28.2736
op_025 (3 1 1).std.csv,-1.26438,-28.385,-1.56658,-26.8185,-28.385
op_026 (3 1 1).std.csv,-1.11957,-28.2402,-1.42192,-26.8183,-28.2402
op_027 (3 1 1).std.csv,-1.26057,-28.3812,-1.56151,-26.8197,-28.3812
op_028 (3 1 1).std.csv,-1.32691,-28.4476,-1.62873,-26.8188,-28.4476
op_029 (3 1 1).std.csv,-1.18778,-28.3084,-1.49072,-26.8177,-28.3084
op_030 (3 1 1).std.csv,-1.27035,-28.391,-1.57115,-26.8199,-28.391
op_031 (3 1 1).std.csv,-1.24802,-28.3687,-1.549,-26.8197,-28.3687
op_032 (3 1 1).std.csv,-1.27307,-28.3937,-1.57464,-26.8191,-28.3937
op_033 (3 1 1).std.csv,-1.30621,-28.4269,-1.60829,-26.8186,-28.4269
op_034 (3 1 1).std.csv,-1.32538,-28.446,-1.62757,-26.8185,-28.446
op_035 (3 1 1).std.csv,-1.34265,-28.4633,-1.64359,-26.8197,-28.4633
op_036 (3 1 1).std.csv,-1.33766,-28.4583,-1.63888,-26.8194,-28.4583
op_037 (3 1 1).std.csv,-1.27038,-28.391,-1.5713,-26.8197,-28.391
op_038 (3 1 1).std.csv,-1.15771,-28.2784,-1.46079,-26.8176,-28.2784
op_039 (3 1 1).std.csv,-1.16009,-28.2808,-1.46148,-26.8193,-28.2808
op_040 (3 1 1).std.csv,-1.33294,-28.4536,-1.63468,-26.8189,-28.4536
op_041 (3 1 1).std.csv,-1.25939,-28.3801,-1.56047,-26.8196,-28.3801
op_042 (3 1 1).std.csv,-1.2968,-28.4175,-1.59756,-26.8199,-28.4175
op_043 (3 1 1).std.csv,-1.29437,-28.415,-1.59547,-26.8196,-28.415
op_044 (3 1 1).std.csv,-1.2641,-28.3848,-1.56498,-26.8198,-28.3848
op_045 (3 1 1).std.csv,-1.07719,-28.1979,-1.37898,-26.8189,-28.1979
op_046 (3 1 1).std.csv,-1.29377,-28.4144,-1.59478,-26.8197,-28.4144
op_047 (3 1 1).std.csv,-1.29998,-28.4206,-1.60188,-26.8188,-28.4206
op_048 (3 1 1).std.csv,-1.33938,-28.46,-1.6419,-26.8181,-28.46
op_049 (3 1 1).std.csv,-1.32525,-28.4459,-1.62772,-26.8182,-28.4459
op_050 (3 1 1).std.csv,-1.27156,-28.3922,-1.57272,-26.8195,-28.3922
op_051 (3 1 1).std.csv,-1.28015,-28.4008,-1.58101,-26.8198,-28.4008
op_052 (3 1 1).std.csv,-1.15805,-28.2787,-1.45914,-26.8196,-28.2787
op_053 (3 1 1).std.csv,-1.31888,-28.4395,-1.61994,-26.8196,-28.4395
op_054 (3 1 1).std.csv,-1.28202,-28.4027,-1.58364,-26.819,-28.4027
op_055 (3 1 1).std.csv,-1.2397,-28.3604,-1.54144,-26.8189,-28.3604
op_056 (3 1 1).std.csv,-1.22542,-28.3461,-1.52626,-26.8198,-28.3461
op_057 (3 1 1).std.csv,-1.27027,-28.3909,-1.57134,-26.8196,-28.3909
op_058 (3 1 1).std.csv,-1.32431,-28.445,-1.6256,-26.8194,-28.445
op_059 (3 1 1).std.csv,-1.29557,-28.4162,-1.59678,-26.8195,-28.4162
op_060 (3 1 1).std.csv,-1.31269,-28.4334,-1.61503,-26.8183,-28.4334
op_061 (3 1 1).std.csv,-1.19325,-28.3139,-1.4942,-26.8197,-28.3139
op_062 (3 1 1).std.csv,-1.3223,-28.443,-1.62315,-26.8198,-28.443
op_063 (3 1 1).std.csv,-1.24207,-28.3627,-1.54534,-26.8174,-28.3627
op_064 (3 1 1).std.csv,-1.31316,-28.4338,-1.61403,-26.8198,-28.4338
op_065 (3 1 1).std.csv,-1.33834,-28.459,-1.63971,-26.8193,-28.459
op_066 (3 1 1).std.csv,-1.22829,-28.3489,-1.52913,-26.8198,-28.3489
op_067 (3 1 1).std.csv,-1.29205,-28.4127,-1.59339,-26.8193,-28.4127
op_068 (3 1 1).std.csv,-1.27751,-28.3982,-1.57942,-26.8188,-28.3982
op_069 (3 1 1).std.csv,-1.29226,-28.4129,-1.59318,-26.8197,-28.4129
op_070 (3 1 1).std.csv,-1.34122,-28.4619,-1.64213,-26.8198,-28.4619
op_071 (3 1 1).std.csv,-1.27846,-28.3991,-1.57924,-26.8199,-28.3991
op_072 (3 1 1).std.csv,-1.25871,-28.3794,-1.55964,-26.8197,-28.3794
op_073 (3 1 1).std.csv,-1.22235,-28.343,-1.52354,-26.8195,-28.343
op_074 (3 1 1).std.csv,-1.27449,-28.3952,-1.57674,-26.8184,-28.3952
op_075 (3 1 1).std.csv,-1.32657,-28.4472,-1.62746,-26.8198,-28.4472
op_076 (3 1 1).std.csv,-1.2499,-28.3706,-1.55175,-26.8188,-28.3706
op_077 (3 1 1).std.csv,-1.15584,-28.2765,-1.4572,-26.8193,-28.2765
op_078 (3 1 1).std.csv,-1.22339,-28.3441,-1.52453,-26.8195,-28.3441
op_079 (3 1 1).std.csv,-1.28498,-28.4056,-1.59631,-26.8093,-28.4056
op_080 (3 1 1).std.csv,-1.2617,-28.3824,-1.56322,-26.8191,-28.3824
op_081 (3 1 1).std.csv,-1.33354,-28.4542,-1.63509,-26.8191,-28.4542
