File_name,Total_energy,Adsorption_energy,Rigid_adsorption_energy,Deformation_energy,dEad/dNi
op_000 (3 1 1).std.csv,-0.82167,-7.4215,-0.82168,-6.5998,-7.4215
op_001 (3 1 1).std.csv,-0.89011,-7.4899,-0.89012,-6.5998,-7.4899
op_002 (3 1 1).std.csv,-0.95914,-7.559,-0.95915,-6.5998,-7.559
op_003 (3 1 1).std.csv,-0.85017,-7.45,-0.85018,-6.5998,-7.45
op_004 (3 1 1).std.csv,-0.88869,-7.4885,-0.88869,-6.5998,-7.4885
op_005 (3 1 1).std.csv,-0.91583,-7.5156,-0.91584,-6.5998,-7.5156
op_006 (3 1 1).std.csv,-0.81907,-7.4189,-0.81907,-6.5998,-7.4189
op_007 (3 1 1).std.csv,-0.83605,-7.4359,-0.83605,-6.5998,-7.4359
op_008 (3 1 1).std.csv,-0.8702,-7.47,-0.87021,-6.5998,-7.47
op_009 (3 1 1).std.csv,-0.87914,-7.479,-0.87914,-6.5998,-7.479
op_010 (3 1 1).std.csv,-0.99782,-7.5976,-0.99782,-6.5998,-7.5976
op_011 (3 1 1).std.csv,-0.89758,-7.4974,-0.89758,-6.5998,-7.4974
op_012 (3 1 1).std.csv,-0.85144,-7.4513,-0.85144,-6.5998,-7.4513
op_013 (3 1 1).std.csv,-0.91727,-7.5171,-0.91728,-6.5998,-7.5171
op_014 (3 1 1).std.csv,-0.90714,-7.507,-0.90714,-6.5998,-7.507
op_015 (3 1 1).std.csv,-0.86519,-7.465,-0.86519,-6.5998,-7.465
op_016 (3 1 1).std.csv,-0.9432,-7.543,-0.9432,-6.5998,-7.543
op_017 (3 1 1).std.csv,-1.0412,-7.641,-1.0412,-6.5998,-7.641
op_018 (3 1 1).std.csv,-0.93941,-7.5392,-0.93941,-6.5998,-7.5392
op_019 (3 1 1).std.csv,-0.87143,-7.4713,-0.87143,-6.5998,-7.4713
op_020 (3 1 1).std.csv,-1.0096,-7.6094,-1.0096,-6.5998,-7.6094
op_021 (3 1 1).std.csv,-0.9041,-7.5039,-0.9041,-6.5998,-7.5039
op_022 (3 1 1).std.csv,-0.93628,-7.5361,-0.93629,-6.5998,-7.5361
op_023 (3 1 1).std.csv,-0.968,-7.5678,-0.968,-6.5998,-7.5678
op_024 (3 1 1).std.csv,-0.90652,-7.5063,-0.90652,-6.5998,-7.5063
op_025 (3 1 1).std.csv,-0.88264,-7.4825,-0.88264,-6.5998,-7.4825
op_026 (3 1 1).std.csv,-0.94358,-7.5434,-0.94359,-6.5998,-7.5434
op_027 (3 1 1).std.csv,-0.90964,-7.5095,-0.90964,-6.5998,-7.5095
op_028 (3 1 1).std.csv,-0.93822,-7.538,-0.93822,-6.5998,-7.538
op_029 (3 1 1).std.csv,-0.91462,-7.5144,-0.91462,-6.5998,-7.5144
op_030 (3 1 1).std.csv,-0.89687,-7.4967,-0.89687,-6.5998,-7.4967
op_031 (3 1 1).std.csv,-1.0379,-7.6377,-1.0379,-6.5998,-7.6377
op_032 (3 1 1).std.csv,-0.94608,-7.5459,-0.94608,-6.5998,-7.5459
op_033 (3 1 1).std.csv,-0.8382,-7.438,-0.8382,-6.5998,-7.438
op_034 (3 1 1).std.csv,-0.92107,-7.5209,-0.92108,-6.5998,-7.5209
op_035 (3 1 1).std.csv,-0.89076,-7.4906,-0.89076,-6.5998,-7.4906
op_036 (3 1 1).std.csv,-0.94184,-7.5417,-0.94184,-6.5998,-7.5417
op_037 (3 1 1).std.csv,-0.92946,-7.5293,-0.92947,-6.5998,-7.5293
op_038 (3 1 1).std.csv,-0.87319,-7.473,-0.87319,-6.5998,-7.473
op_039 (3 1 1).std.csv,-0.92077,-7.5206,-0.92077,-6.5998,-7.5206
op_040 (3 1 1).std.csv,-0.89568,-7.4955,-0.89568,-6.5998,-7.4955
op_041 (3 1 1).std.csv,-0.9235,-7.5233,-0.92351,-6.5998,-7.5233
op_042 (3 1 1).std.csv,-0.93601,-7.5358,-0.93601,-6.5998,-7.5358
op_043 (3 1 1).std.csv,-0.91256,-7.5124,-0.91256,-6.5998,-7.5124
op_044 (3 1 1).std.csv,-0.8621,-7.4619,-0.8621,-6.5998,-7.4619
op_045 (3 1 1).std.csv,-0.87657,-7.4764,-0.87657,-6.5998,-7.4764
op_046 (3 1 1).std.csv,-0.87866,-7.4785,-0.87866,-6.5998,-7.4785
op_047 (3 1 1).std.csv,-0.8948,-7.4946,-0.8948,-6.5998,-7.4946
op_048 (3 1 1).std.csv,-0.94605,-7.5459,-0.94605,-6.5998,-7.5459
op_049 (3 1 1).std.csv,-0.94963,-7.5494,-0.94963,-6.5998,-7.5494
op_050 (3 1 1).std.csv,-0.90382,-7.5036,-0.90382,-6.5998,-7.5036
op_051 (3 1 1).std.csv,-0.89186,-7.4917,-0.89186,-6.5998,-7.4917
op_052 (3 1 1).std.csv,-0.92878,-7.5286,-0.92879,-6.5998,-7.5286
op_053 (3 1 1).std.csv,-0.93604,-7.5359,-0.93604,-6.5998,-7.5359
op_054 (3 1 1).std.csv,-0.96425,-7.5641,-0.96425,-6.5998,-7.5641
op_055 (3 1 1).std.csv,-0.95256,-7.5524,-0.95256,-6.5998,-7.5524
op_056 (3 1 1).std.csv,-0.8643,-7.4641,-0.8643,-6.5998,-7.4641
op_057 (3 1 1).std.csv,-0.95313,-7.5529,-0.95313,-6.5998,-7.5529
op_058 (3 1 1).std.csv,-0.93399,-7.5338,-0.93399,-6.5998,-7.5338
op_059 (3 1 1).std.csv,-0.86121,-7.461,-0.86121,-6.5998,-7.461
op_060 (3 1 1).std.csv,-0.88079,-7.4806,-0.8808,-6.5998,-7.4806
op_061 (3 1 1).std.csv,-0.90877,-7.5086,-0.90877,-6.5998,-7.5086
op_062 (3 1 1).std.csv,-0.91429,-7.5141,-0.91429,-6.5998,-7.5141
op_063 (3 1 1).std.csv,-0.95829,-7.5581,-0.95829,-6.5998,-7.5581
op_064 (3 1 1).std.csv,-0.89991,-7.4997,-0.89992,-6.5998,-7.4997
op_065 (3 1 1).std.csv,-0.95794,-7.5578,-0.95795,-6.5998,-7.5578
op_066 (3 1 1).std.csv,-0.74321,-7.343,-0.74321,-6.5998,-7.343
op_067 (3 1 1).std.csv,-0.94595,-7.5458,-0.94595,-6.5998,-7.5458
op_068 (3 1 1).std.csv,-0.86906,-7.4689,-0.86906,-6.5998,-7.4689
op_069 (3 1 1).std.csv,-0.86499,-7.4648,-0.86499,-6.5998,-7.4648
op_070 (3 1 1).std.csv,-0.84566,-7.4455,-0.84566,-6.5998,-7.4455
op_071 (3 1 1).std.csv,-0.9401,-7.5399,-0.9401,-6.5998,-7.5399
op_072 (3 1 1).std.csv,-0.89709,-7.4969,-0.89709,-6.5998,-7.4969
op_073 (3 1 1).std.csv,-0.95222,-7.552,-0.95222,-6.5998,-7.552
op_074 (3 1 1).std.csv,-1.0928,-7.6927,-1.0929,-6.5998,-7.6927
op_075 (3 1 1).std.csv,-0.94122,-7.541,-0.94122,-6.5998,-7.541
op_076 (3 1 1).std.csv,-0.82219,-7.422,-0.82219,-6.5998,-7.422
op_077 (3 1 1).std.csv,-0.90898,-7.5088,-0.90899,-6.5998,-7.5088
op_078 (3 1 1).std.csv,-0.91037,-7.5102,-0.9105,-6.5997,-7.5102
op_079 (3 1 1).std.csv,-0.93352,-7.5333,-0.93352,-6.5998,-7.5333
op_080 (3 1 1).std.csv,-0.92861,-7.5284,-0.92862,-6.5998,-7.5284
op_081 (3 1 1).std.csv,-0.8955,-7.4953,-0.89551,-6.5998,-7.4953
op_082 (3 1 1).std.csv,-0.95963,-7.5595,-0.95964,-6.5998,-7.5595
op_083 (3 1 1).std.csv,-0.94229,-7.5421,-0.94229,-6.5998,-7.5421
op_084 (3 1 1).std.csv,-0.93036,-7.5302,-0.93036,-6.5998,-7.5302
op_085 (3 1 1).std.csv,-0.83704,-7.4369,-0.83705,-6.5998,-7.4369
op_086 (3 1 1).std.csv,-0.95555,-7.5554,-0.95555,-6.5998,-7.5554
