File_name,Total_energy,Adsorption_energy,Rigid_adsorption_energy,Deformation_energy,dEad/dNi
op_00 (3 1 1).std.csv,-0.82693,-7.4268,-0.82693,-6.5998,-7.4268
op_01 (3 1 1).std.csv,-0.94657,-7.5464,-0.94658,-6.5998,-7.5464
op_02 (3 1 1).std.csv,-0.88883,-7.4886,-0.88883,-6.5998,-7.4886
op_03 (3 1 1).std.csv,-0.85991,-7.4597,-0.85991,-6.5998,-7.4597
op_04 (3 1 1).std.csv,-0.88655,-7.4864,-0.88656,-6.5998,-7.4864
op_05 (3 1 1).std.csv,-0.84464,-7.4445,-0.84464,-6.5998,-7.4445
op_06 (3 1 1).std.csv,-0.93526,-7.5351,-0.93527,-6.5998,-7.5351
op_07 (3 1 1).std.csv,-0.94779,-7.5476,-0.94779,-6.5998,-7.5476
op_08 (3 1 1).std.csv,-0.96035,-7.5602,-0.96036,-6.5998,-7.5602
op_09 (3 1 1).std.csv,-0.84692,-7.4467,-0.84692,-6.5998,-7.4467
op_10 (3 1 1).std.csv,-1.0588,-7.6587,-1.0589,-6.5998,-7.6587
op_11 (3 1 1).std.csv,-0.79992,-7.3997,-0.79992,-6.5998,-7.3997
op_12 (3 1 1).std.csv,-0.81717,-7.417,-0.81717,-6.5998,-7.417
op_13 (3 1 1).std.csv,-0.92286,-7.5227,-0.92286,-6.5998,-7.5227
op_14 (3 1 1).std.csv,-0.95646,-7.5563,-0.95647,-6.5998,-7.5563
op_15 (3 1 1).std.csv,-0.87101,-7.4708,-0.87101,-6.5998,-7.4708
op_16 (3 1 1).std.csv,-0.88315,-7.483,-0.88315,-6.5998,-7.483
op_17 (3 1 1).std.csv,-0.8793,-7.4791,-0.8793,-6.5998,-7.4791
op_18 (3 1 1).std.csv,-0.87146,-7.4713,-0.87147,-6.5998,-7.4713
op_19 (3 1 1).std.csv,-0.90759,-7.5074,-0.90759,-6.5998,-7.5074
op_20 (3 1 1).std.csv,-0.93338,-7.5332,-0.93338,-6.5998,-7.5332
op_21 (3 1 1).std.csv,-0.92414,-7.524,-0.92414,-6.5998,-7.524
op_22 (3 1 1).std.csv,-0.95452,-7.5543,-0.95453,-6.5998,-7.5543
op_23 (3 1 1).std.csv,-0.7834,-7.3832,-0.7834,-6.5998,-7.3832
op_24 (3 1 1).std.csv,-0.85582,-7.4556,-0.85582,-6.5998,-7.4556
op_25 (3 1 1).std.csv,-0.74978,-7.3496,-0.74978,-6.5998,-7.3496
op_26 (3 1 1).std.csv,-0.84008,-7.4399,-0.84008,-6.5998,-7.4399
op_27 (3 1 1).std.csv,-0.88425,-7.4841,-0.88425,-6.5998,-7.4841
op_28 (3 1 1).std.csv,-0.94173,-7.5415,-0.94174,-6.5998,-7.5415
op_29 (3 1 1).std.csv,-0.9396,-7.5394,-0.9396,-6.5998,-7.5394
op_30 (3 1 1).std.csv,-0.93922,-7.539,-0.93922,-6.5998,-7.539
op_31 (3 1 1).std.csv,-0.93267,-7.5325,-0.93267,-6.5998,-7.5325
op_32 (3 1 1).std.csv,-0.82344,-7.4233,-0.82344,-6.5998,-7.4233
op_33 (3 1 1).std.csv,-0.83481,-7.4346,-0.83481,-6.5998,-7.4346
op_34 (3 1 1).std.csv,-0.8803,-7.4801,-0.8803,-6.5998,-7.4801
op_35 (3 1 1).std.csv,-0.90761,-7.5074,-0.90761,-6.5998,-7.5074
